Tên bài hát(file name),Định dạng,Ca sĩ (chính),Ca sĩ (phụ),Class,SCR,,,,,,,,,,,,,,
"NO FAR, NO STAR (feat. Song Luân, RHYDER, HURRYKNG, Captain, Đỗ Phú Quí & Tage)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NO FAR, NO STAR (feat. Song Luân, RHYDER, HURRYKNG, Captain, Đỗ Phú Quí & Tage).mp3",,,,,,,,,,,,,,
"NỖI ĐAU NGÂY DẠI (feat. HIEUTHUHAI, Đức Phúc & Công Dương)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/NỖI ĐAU NGÂY DẠI (feat. HIEUTHUHAI, Đức Phúc & Công Dương).mp3",,,,,,,,,,,,,,
QUAY ĐI QUAY LẠI (feat. HIEUTHUHAI),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/QUAY ĐI QUAY LẠI (feat. HIEUTHUHAI).mp3,,,,,,,,,,,,,,
"REGRET (feat. Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương & Lâm Bảo Ngọc)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/REGRET (feat. Quân A.P, Pháp Kiều, Quang Trung, Ali Hoàng Dương & Lâm Bảo Ngọc).mp3",,,,,,,,,,,,,,
"SAO HẠNG A (feat. HIEUTHUHAI, Dương Domic, Song Luân, Jsol & Trần Đăng Dương)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/SAO HẠNG A (feat. HIEUTHUHAI, Dương Domic, Song Luân, Jsol & Trần Đăng Dương).mp3",,,,,,,,,,,,,,
"SÓNG VỖ VỠ BỜ (feat. Anh Tú, JSOL, ERIK, Dương Domic & Phạm Anh Duy)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/SÓNG VỖ VỠ BỜ (feat. Anh Tú, JSOL, ERIK, Dương Domic & Phạm Anh Duy).mp3",,,,,,,,,,,,,,
THE STARS (feat. 30 Anh Trai),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/THE STARS (feat. 30 Anh Trai).mp3,,,,,,,,,,,,,,
"THI SĨ (feat. Đức Phúc, ERIK, Phạm Anh Duy & Tage)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/THI SĨ (feat. Đức Phúc, ERIK, Phạm Anh Duy & Tage).mp3",,,,,,,,,,,,,,
TÌNH CUỐI CÙNG (feat. Jsol),.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/TÌNH CUỐI CÙNG (feat. Jsol).mp3,,,,,,,,,,,,,,
"TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/TÌNH ĐẦU QUÁ CHÉN (feat. Quang Hùng MasterD, Negav, Pháp Kiều & Erik).mp3",,,,,,,,,,,,,,
"WALK (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/WALK (feat. HURRYKNG, HIEUTHUHAI, Negav, Pháp Kiều & Isaac).mp3",,,,,,,,,,,,,,
"YOU (feat. Song Luân, Anh Tú Atus, Captain & Quang Trung)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/YOU (feat. Song Luân, Anh Tú Atus, Captain & Quang Trung).mp3",,,,,,,,,,,,,,
"YOU HAD ME AT HELLO (feat. Phạm Đình Thái Ngân, Lou Hoàng, Hải Đăng Doo & Gin Tuấn Kiệt)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/YOU HAD ME AT HELLO (feat. Phạm Đình Thái Ngân, Lou Hoàng, Hải Đăng Doo & Gin Tuấn Kiệt).mp3",,,,,,,,,,,,,,
"10_10 (feat. Phạm Đình Thái Ngân, Anh Tú Atus, Quang Trung & Hùng Huỳnh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/10_10 (feat. Phạm Đình Thái Ngân, Anh Tú Atus, Quang Trung & Hùng Huỳnh).mp3",,,,,,,,,,,,,,
"AIRPLANE MODE (feat. HURRYKNG & Wean, antransax)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/AIRPLANE MODE (feat. HURRYKNG & Wean, antransax).mp3",,,,,,,,,,,,,,
"ANH BIẾT RỒI (feat. Rhyder, Jmi Ko)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/ANH BIẾT RỒI (feat. Rhyder, Jmi Ko).mp3",,,,,,,,,,,,,,
"ANH TRAI NƯỚC VIỆT (feat. ERIK, Đức Phúc, Quân A.P, Jsol & Hùng Huỳnh)",.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,"../files/musics/Anh Trai Say Hi/ANH TRAI NƯỚC VIỆT (feat. ERIK, Đức Phúc, Quân A.P, Jsol & Hùng Huỳnh).mp3",,,,,,,,,,,,,,
Anh Trai Say Hi!,.mp3,Anh Trai Say Hi,Anh Trai Say Hi,Anh_Trai_Say_Hi,../files/musics/Anh Trai Say Hi/Anh Trai Say Hi!.mp3,,,,,,,,,,,,,,
